n=10 | iteration 60| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 61| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 62| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 63| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 64| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 65| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 66| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 67| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 68| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 69| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 70| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 71| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 72| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 73| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 74| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 75| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 76| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 77| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 78| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 79| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 80| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 81| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 82| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 83| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 84| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 85| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 86| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 87| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 88| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 89| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 90| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 91| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 92| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 93| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 94| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 95| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 96| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 97| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 98| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=10 | iteration 99| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 0| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 1| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 2| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 3| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 4| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 5| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 6| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 7| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 8| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 9| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 10| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 11| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 12| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 13| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 14| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 15| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 16| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 17| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 18| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.015625s
n=20 | iteration 19| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 20| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 21| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 22| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 23| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 24| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 25| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 26| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 27| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 28| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 29| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 30| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 31| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 32| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 33| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 34| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 35| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 36| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.015625s
n=20 | iteration 37| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 38| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 39| FF worst-case: 0.000000s | MC worst-case: 0.015625s | PR worst-case: 0.000000s
n=20 | iteration 40| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 41| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 42| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 43| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
n=20 | iteration 44| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.015625s
n=20 | iteration 45| FF worst-case: 0.000000s | MC worst-case: 0.000000s | PR worst-case: 0.000000s
